Q-function training is starting
[Epoch 2490/1000000] Q loss: 0.005005322264320382, score: 0, distance survived: 76
[Epoch 2500/1000000] Q loss: 0.004394226347922801, score: 0, distance survived: 61
[Epoch 2510/1000000] Q loss: 0.003270430978517634, score: 0, distance survived: 61
[Epoch 2520/1000000] Q loss: 0.004840885948102521, score: 0, distance survived: 35
[Epoch 2530/1000000] Q loss: 0.004590533911575106, score: 0, distance survived: 38
[Epoch 2540/1000000] Q loss: 0.004538267730763919, score: 0, distance survived: 77
[Epoch 2550/1000000] Q loss: 0.005267179308738681, score: 0, distance survived: 39
[Epoch 2560/1000000] Q loss: 0.004913602422152945, score: 0, distance survived: 76
[Epoch 2570/1000000] Q loss: 0.003202531866055561, score: 0, distance survived: 67
[Epoch 2580/1000000] Q loss: 0.003486650611862847, score: 0, distance survived: 73
[Epoch 2590/1000000] Q loss: 0.003456715996502832, score: 0, distance survived: 63
[Epoch 2600/1000000] Q loss: 0.004102140178819325, score: 0, distance survived: 64
[Epoch 2610/1000000] Q loss: 0.0043556241931022215, score: 0, distance survived: 61
[Epoch 2620/1000000] Q loss: 0.0036607518568120374, score: 0, distance survived: 187
[Epoch 2630/1000000] Q loss: 0.005455180105145552, score: 0, distance survived: 77
[Epoch 2640/1000000] Q loss: 0.0033322680051705777, score: 0, distance survived: 61
[Epoch 2650/1000000] Q loss: 0.004265852837049223, score: 0, distance survived: 60
[Epoch 2660/1000000] Q loss: 0.00554268597001896, score: 0, distance survived: 64
[Epoch 2670/1000000] Q loss: 0.0038919082515155145, score: 0, distance survived: 72
[Epoch 2680/1000000] Q loss: 0.00353119006157976, score: 0, distance survived: 64
[Epoch 2690/1000000] Q loss: 0.004406284824685173, score: 0, distance survived: 60
[Epoch 2700/1000000] Q loss: 0.0063146426258192554, score: 0, distance survived: 64
[Epoch 2710/1000000] Q loss: 0.004412278647155918, score: 0, distance survived: 73
[Epoch 2720/1000000] Q loss: 0.003097264599062533, score: 0, distance survived: 61
[Epoch 2730/1000000] Q loss: 0.0035624810796460443, score: 0, distance survived: 65
[Epoch 2740/1000000] Q loss: 0.0051683944902495725, score: 0, distance survived: 74
[Epoch 2750/1000000] Q loss: 0.004824544894804089, score: 0, distance survived: 188
[Epoch 2760/1000000] Q loss: 0.0050665974449129025, score: 0, distance survived: 73
[Epoch 2770/1000000] Q loss: 0.004120383720824199, score: 0, distance survived: 195
[Epoch 2780/1000000] Q loss: 0.004700376718663529, score: 0, distance survived: 74
[Epoch 2790/1000000] Q loss: 0.0027371089134948707, score: 0, distance survived: 61
[Epoch 2800/1000000] Q loss: 0.004997735920473191, score: 0, distance survived: 63
[Epoch 2810/1000000] Q loss: 0.005362452325038407, score: 0, distance survived: 72
[Epoch 2820/1000000] Q loss: 0.0033288404233728234, score: 0, distance survived: 63
[Epoch 2830/1000000] Q loss: 0.004711506911809664, score: 0, distance survived: 65
[Epoch 2840/1000000] Q loss: 0.004216867841564212, score: 0, distance survived: 74
[Epoch 2850/1000000] Q loss: 0.004634375926714826, score: 0, distance survived: 64
[Epoch 2860/1000000] Q loss: 0.004540349331800633, score: 0, distance survived: 71
[Epoch 2870/1000000] Q loss: 0.005616642190936759, score: 0, distance survived: 188
[Epoch 2880/1000000] Q loss: 0.004312801806223351, score: 0, distance survived: 65
[Epoch 2890/1000000] Q loss: 0.0037349705388125313, score: 0, distance survived: 64
[Epoch 2900/1000000] Q loss: 0.005223270535531665, score: 0, distance survived: 65
[Epoch 2910/1000000] Q loss: 0.00612900173316983, score: 0, distance survived: 72
[Epoch 2920/1000000] Q loss: 0.004059209380026442, score: 0, distance survived: 65
[Epoch 2930/1000000] Q loss: 0.003960212736648884, score: 0, distance survived: 72
[Epoch 2940/1000000] Q loss: 0.003968714694275575, score: 0, distance survived: 37
[Epoch 2950/1000000] Q loss: 0.005826250230402785, score: 0, distance survived: 71
[Epoch 2960/1000000] Q loss: 0.002995956119461708, score: 0, distance survived: 65
[Epoch 2970/1000000] Q loss: 0.0033400890171985894, score: 0, distance survived: 64
[Epoch 2980/1000000] Q loss: 0.0028808384352738726, score: 0, distance survived: 71
[Epoch 2990/1000000] Q loss: 0.005120115307028068, score: 0, distance survived: 64
[Epoch 3000/1000000] Q loss: 0.004928661156776966, score: 0, distance survived: 71
[Epoch 3010/1000000] Q loss: 0.0026511402755555235, score: 0, distance survived: 73
